?????,?????
2019-04-12,47.759935
2019-04-13,46.078108
2019-04-14,26.729294
2019-04-15,60.731499
2019-04-16,69.662383
2019-04-17,67.27464
2019-04-18,64.759002
2019-04-19,59.456096
2019-04-20,64.772789
2019-04-21,64.938444
2019-04-22,59.790504
2019-04-23,62.867552
2019-04-24,59.888544
2019-04-25,65.18277
2019-04-26,65.275102
2019-04-27,62.348934
2019-04-28,58.297636
2019-04-29,63.104292
2019-04-30,64.857513
2019-05-01,62.08813
2019-05-02,64.402795
2019-05-03,63.338958
2019-05-04,63.705851
2019-05-05,55.204697
2019-05-06,58.45495
2019-05-07,48.449453
2019-05-08,47.404258
2019-05-09,41.18964
2019-05-10,38.667455
2019-05-11,51.727994
2019-05-12,60.042958
2019-05-13,47.912416
2019-05-14,43.224583
2019-05-15,41.824167
2019-05-16,9.855849
2019-05-17,52.91554
2019-05-18,41.813628
2019-05-19,43.739491
2019-05-20,26.976631
2019-05-21,55.995149
2019-05-22,30.435746
2019-05-23,57.462012
2019-05-24,64.257629
2019-05-25,58.37177
2019-05-26,62.636773
2019-05-27,63.000233
2019-05-28,56.00189
2019-05-29,41.963514
2019-05-30,42.573877
2019-05-31,49.516302
2019-06-01,48.708106
2019-06-02,57.128327
2019-06-03,59.974091
2019-06-04,62.422281
2019-06-05,62.600846
2019-06-06,62.511264
2019-06-07,60.604123
2019-06-08,60.859804
2019-06-09,60.216168
2019-06-10,59.488372
2019-06-11,62.952354
2019-06-12,62.160517
2019-06-13,60.880703
2019-06-14,54.633061
2019-06-15,60.507094
2019-06-16,61.303858
2019-06-17,60.193475
2019-06-18,60.187581
2019-06-19,58.913708
2019-06-20,49.356588
2019-06-21,52.11164
2019-06-22,54.551722
2019-06-23,58.56765
2019-06-24,62.316794
2019-06-25,62.00131
2019-06-26,62.224287
2019-06-27,62.16017
2019-06-28,60.927676
2019-06-29,55.783547
2019-06-30,58.256529
2019-07-01,59.021487
2019-07-02,58.366904
2019-07-03,56.30054
2019-07-04,60.388023
2019-07-05,59.751212
2019-07-06,61.244509
2019-07-07,62.169456
2019-07-08,59.369186
2019-07-09,58.744372
2019-07-10,59.010144
2019-07-11,29.228102
2019-07-12,47.604444
2019-07-13,56.560035
2019-07-14,57.465079
2019-07-15,60.333869
2019-07-16,57.312104
2019-07-17,58.892008
2019-07-18,58.709854
2019-07-19,58.944248
2019-07-20,58.986101
2019-07-21,59.253749
2019-07-22,53.827624
2019-07-23,55.938298
2019-07-24,43.391557
2019-07-25,59.527765
2019-07-26,54.517392
2019-07-27,42.415838
2019-07-28,37.923654
2019-07-29,57.739748
2019-07-30,57.450519
2019-07-31,58.153814
2019-08-01,56.467197
2019-08-02,61.078964
2019-08-03,60.428468
2019-08-04,56.650353
2019-08-05,55.854981
2019-08-06,57.255693
2019-08-07,44.633369
2019-08-08,56.434822
2019-08-09,52.503816
2019-08-10,54.990108
2019-08-11,57.224041
2019-08-12,30.54651
2019-08-13,55.000239
2019-08-14,62.383616
2019-08-15,62.473793
2019-08-16,62.248099
2019-08-17,62.26186
2019-08-18,62.063811
2019-08-19,46.944305
2019-08-20,54.293868
2019-08-21,62.35683
2019-08-22,61.724205
2019-08-23,54.630994
2019-08-24,61.690578
2019-08-25,62.47301
2019-08-26,62.850818
2019-08-27,61.259893
2019-08-28,61.547913
2019-08-29,59.279864
2019-08-30,60.500705
2019-08-31,64.067752
2019-09-01,62.13974
2019-09-02,61.462047
2019-09-03,60.600614
2019-09-04,60.250358
2019-09-05,61.016798
2019-09-06,60.302379
2019-09-07,61.960079
2019-09-08,61.606519
2019-09-09,60.702818
2019-09-10,59.695553
2019-09-11,57.953084
2019-09-12,58.426895
2019-09-13,57.990385
2019-09-14,57.261575
2019-09-15,60.670603
2019-09-16,62.570095
2019-09-17,63.524791
2019-09-18,62.16543
2019-09-19,61.001905
2019-09-20,60.217944
2019-09-21,58.821555
2019-09-22,59.065487
2019-09-23,58.001979
2019-09-24,58.348677
2019-09-25,57.235497
2019-09-26,56.553039
2019-09-27,58.053881
2019-09-28,56.536596
2019-09-29,55.724528
2019-09-30,52.456076
